E_Q9BLI1	ensembl134518/low_complexity	TRASDJ PROTEIN (FRAGMENT).
BTSAT1	Satellite/Centromeric  
BTSAT2	Satellite/Centromeric  
BTSAT3	Satellite/Centromeric  
BTSAT4	Satellite/Centromeric  
BTSAT6	Satellite/Centromeric  
ATCOPIA1LTR	LTR/Copia 
autorepeat_1790	ciona_repeat
autorepeat_1791	ciona_repeat
autorepeat_1792	ciona_repeat
E_Q00068	ensembl26115/low_complexity	REVERSE TRANSCRIPTASE (FRAGMENT).
autorepeat_1793	ciona_repeat
autorepeat_1794	ciona_repeat
autorepeat_1795	ciona_repeat
autorepeat_1796	ciona_repeat
autorepeat_1797	ciona_repeat
autorepeat_1798	ciona_repeat
autorepeat_1799	ciona_repeat
NTC2A	DNA/Pogo
LOOPERN2_DR	DNA
F	DNA
HERVIP10FH	LTR/ERV1
gi|3095156|gb|AF054232.1|AF054232	DNA
E_Q9P930	ensembl12650/low_complexity	REVERSE TRANSCRIPTASE (FRAGMENT).
gi|159639|gb|M35470.1|MSQRTR1S	DNA
ATCOPIA81_I	LTR/Copia
TV1I	LTR/Gypsy   Drosophila virilis retrotransposon TV1, an internal portion.
gi|4099804|gb|U89800.1|AGU89800	DNA
E_Q95NH0	ensembl26548/trans	REVERSE TRANSCRIPTASE (FRAGMENT).
(TGAA)n	Simple_repeat
DMSUFFIXC	DNA
Tigger2a_Art	DNA/MER2_type 18-19 % div, 21-22% subst Eutheria; Cetartiodactyla
E_P11227	ensembl19189/trans	POL POLYPROTEIN [CONTAINS: PROTEASE (EC 3.4.23.-); REVERSE TRANSCRIPTASE (EC 2.7.7.49); RIBONUCLEASE H (EC 3.1.26.4)].
E_Q9NL34	ensembl5341/trans	PROTEASE-LIKE PROTEIN (FRAGMENT).
gi|1197546|gb|U47021.1|AGU47021	DNA
DMRSP1	DNA
E_Q963U3	ensembl12835/trans	REVERSE TRANSCRIPTASE (FRAGMENT).
WANDERER_OS	DNA
51693..86547	DNA
E_O46184	ensembl19065/trans	REVERSE TRANSCRIPTASE (FRAGMENT).
DM176_I	LTR/Gypsy Drosophila melanogaster element 17.6
tRNA-Thr-ACG_	tRNA 
drr410	Waterman
drr411	Waterman
drr412	Waterman
drr413	Waterman
drr414	Waterman
drr415	Waterman
drr416	Waterman
drr417	Waterman
drr418	Waterman
drr419	Waterman
E_Q24701	ensembl6546/trans	PLANARIAN MARINER-9 GENE.
E_Q919G3	ensembl13336/trans	PUTATIVE REVERSE TRANSCRIPTASE.
drr420	Waterman
E_Q963X8	ensembl26549/trans	REVERSE TRANSCRIPTASE (FRAGMENT).
169706..115790	DNA
drr421	Waterman
drr422	Waterman
drr423	Waterman
drr424	Waterman
drr425	Waterman
